PING 75.75.76.76 (75.75.76.76) 56(84) bytes of data.
64 bytes from 75.75.76.76: icmp_seq=274 ttl=53 time=50.9 ms
64 bytes from 75.75.76.76: icmp_seq=275 ttl=53 time=49.9 ms
64 bytes from 75.75.76.76: icmp_seq=276 ttl=53 time=47.7 ms
64 bytes from 75.75.76.76: icmp_seq=277 ttl=53 time=49.1 ms
64 bytes from 75.75.76.76: icmp_seq=278 ttl=53 time=44.5 ms
64 bytes from 75.75.76.76: icmp_seq=279 ttl=53 time=49.4 ms
64 bytes from 75.75.76.76: icmp_seq=280 ttl=53 time=75.6 ms
64 bytes from 75.75.76.76: icmp_seq=281 ttl=53 time=72.1 ms
64 bytes from 75.75.76.76: icmp_seq=282 ttl=53 time=65.5 ms
64 bytes from 75.75.76.76: icmp_seq=283 ttl=53 time=68.4 ms
64 bytes from 75.75.76.76: icmp_seq=284 ttl=53 time=68.4 ms
64 bytes from 75.75.76.76: icmp_seq=285 ttl=53 time=49.0 ms
64 bytes from 75.75.76.76: icmp_seq=286 ttl=53 time=61.1 ms
64 bytes from 75.75.76.76: icmp_seq=287 ttl=53 time=62.5 ms
64 bytes from 75.75.76.76: icmp_seq=288 ttl=53 time=52.4 ms
64 bytes from 75.75.76.76: icmp_seq=289 ttl=53 time=58.1 ms
64 bytes from 75.75.76.76: icmp_seq=290 ttl=53 time=56.3 ms
64 bytes from 75.75.76.76: icmp_seq=291 ttl=53 time=49.4 ms
64 bytes from 75.75.76.76: icmp_seq=292 ttl=53 time=53.5 ms
64 bytes from 75.75.76.76: icmp_seq=293 ttl=53 time=53.8 ms
64 bytes from 75.75.76.76: icmp_seq=294 ttl=53 time=45.9 ms
64 bytes from 75.75.76.76: icmp_seq=295 ttl=53 time=49.4 ms
64 bytes from 75.75.76.76: icmp_seq=296 ttl=53 time=44.6 ms
64 bytes from 75.75.76.76: icmp_seq=297 ttl=53 time=78.9 ms
64 bytes from 75.75.76.76: icmp_seq=298 ttl=53 time=57.9 ms
64 bytes from 75.75.76.76: icmp_seq=299 ttl=53 time=76.8 ms
64 bytes from 75.75.76.76: icmp_seq=300 ttl=53 time=75.4 ms
