PING 149.112.112.112 (149.112.112.112) 56(84) bytes of data.
64 bytes from 149.112.112.112: icmp_seq=192 ttl=56 time=19.3 ms
64 bytes from 149.112.112.112: icmp_seq=193 ttl=56 time=30.7 ms
64 bytes from 149.112.112.112: icmp_seq=194 ttl=56 time=46.1 ms
64 bytes from 149.112.112.112: icmp_seq=195 ttl=56 time=46.1 ms
64 bytes from 149.112.112.112: icmp_seq=196 ttl=56 time=27.1 ms
64 bytes from 149.112.112.112: icmp_seq=197 ttl=56 time=21.3 ms
64 bytes from 149.112.112.112: icmp_seq=198 ttl=56 time=50.0 ms
64 bytes from 149.112.112.112: icmp_seq=199 ttl=56 time=54.1 ms
64 bytes from 149.112.112.112: icmp_seq=200 ttl=56 time=37.2 ms
64 bytes from 149.112.112.112: icmp_seq=201 ttl=56 time=25.9 ms
64 bytes from 149.112.112.112: icmp_seq=202 ttl=56 time=15.8 ms
64 bytes from 149.112.112.112: icmp_seq=203 ttl=56 time=28.8 ms
64 bytes from 149.112.112.112: icmp_seq=204 ttl=56 time=31.1 ms
64 bytes from 149.112.112.112: icmp_seq=205 ttl=56 time=27.5 ms
64 bytes from 149.112.112.112: icmp_seq=206 ttl=56 time=26.0 ms
64 bytes from 149.112.112.112: icmp_seq=207 ttl=56 time=61.3 ms
64 bytes from 149.112.112.112: icmp_seq=208 ttl=56 time=20.5 ms
64 bytes from 149.112.112.112: icmp_seq=209 ttl=56 time=19.8 ms
64 bytes from 149.112.112.112: icmp_seq=210 ttl=56 time=18.2 ms
64 bytes from 149.112.112.112: icmp_seq=211 ttl=56 time=16.3 ms
64 bytes from 149.112.112.112: icmp_seq=212 ttl=56 time=18.4 ms
64 bytes from 149.112.112.112: icmp_seq=213 ttl=56 time=36.3 ms
64 bytes from 149.112.112.112: icmp_seq=214 ttl=56 time=43.4 ms
64 bytes from 149.112.112.112: icmp_seq=215 ttl=56 time=42.2 ms
64 bytes from 149.112.112.112: icmp_seq=216 ttl=56 time=32.0 ms
64 bytes from 149.112.112.112: icmp_seq=217 ttl=56 time=37.2 ms
64 bytes from 149.112.112.112: icmp_seq=218 ttl=56 time=36.0 ms
64 bytes from 149.112.112.112: icmp_seq=219 ttl=56 time=44.2 ms
64 bytes from 149.112.112.112: icmp_seq=220 ttl=56 time=31.0 ms
64 bytes from 149.112.112.112: icmp_seq=221 ttl=56 time=31.0 ms
64 bytes from 149.112.112.112: icmp_seq=222 ttl=56 time=22.0 ms
64 bytes from 149.112.112.112: icmp_seq=223 ttl=56 time=28.2 ms
64 bytes from 149.112.112.112: icmp_seq=224 ttl=56 time=25.3 ms
64 bytes from 149.112.112.112: icmp_seq=225 ttl=56 time=16.8 ms
64 bytes from 149.112.112.112: icmp_seq=226 ttl=56 time=18.3 ms
64 bytes from 149.112.112.112: icmp_seq=227 ttl=56 time=20.2 ms
64 bytes from 149.112.112.112: icmp_seq=228 ttl=56 time=15.7 ms
64 bytes from 149.112.112.112: icmp_seq=229 ttl=56 time=27.1 ms
64 bytes from 149.112.112.112: icmp_seq=230 ttl=56 time=31.8 ms
64 bytes from 149.112.112.112: icmp_seq=231 ttl=56 time=44.4 ms
64 bytes from 149.112.112.112: icmp_seq=232 ttl=56 time=23.5 ms
64 bytes from 149.112.112.112: icmp_seq=233 ttl=56 time=39.9 ms
64 bytes from 149.112.112.112: icmp_seq=234 ttl=56 time=65.0 ms
64 bytes from 149.112.112.112: icmp_seq=235 ttl=56 time=22.1 ms
64 bytes from 149.112.112.112: icmp_seq=236 ttl=56 time=37.6 ms
64 bytes from 149.112.112.112: icmp_seq=237 ttl=56 time=32.1 ms
64 bytes from 149.112.112.112: icmp_seq=238 ttl=56 time=32.3 ms
64 bytes from 149.112.112.112: icmp_seq=239 ttl=56 time=30.9 ms
